Rank;Country or Area;Subgroup;Year;Source;Unit;Value;Value Footnotes
88;Aruba;Female;2002;UNESCO_UIS Database_Sep2007;Percent;33;4
89;Aruba;Female;2001;UNESCO_UIS Database_Sep2007;Percent;35;4
90;Aruba;Female;2000;UNESCO_UIS Database_Sep2007;Percent;35;4
91;Aruba;Female;1999;UNESCO_UIS Database_Sep2007;Percent;28;4
92;Aruba;Male;2005;UNESCO_UIS Database_Sep2007;Percent;27;4
93;Aruba;Male;2004;UNESCO_UIS Database_Sep2007;Percent;23;4
94;Aruba;Male;2003;UNESCO_UIS Database_Sep2007;Percent;24;4
95;Aruba;Male;2002;UNESCO_UIS Database_Sep2007;Percent;22;4
96;Aruba;Male;2001;UNESCO_UIS Database_Sep2007;Percent;23;4
97;Aruba;Male;2000;UNESCO_UIS Database_Sep2007;Percent;23;4
98;Aruba;Male;1999;UNESCO_UIS Database_Sep2007;Percent;24;4
99;Australia;Female;2005;UNESCO_UIS Database_Sep2007;Percent;80;
100;Australia;Female;2004;UNESCO_UIS Database_Sep2007;Percent;80;
101;Australia;Female;2003;UNESCO_UIS Database_Sep2007;Percent;82;
102;Australia;Female;2002;UNESCO_UIS Database_Sep2007;Percent;84;
103;Australia;Female;2001;UNESCO_UIS Database_Sep2007;Percent;73;
104;Australia;Female;2000;UNESCO_UIS Database_Sep2007;Percent;72;
105;Australia;Female;1999;UNESCO_UIS Database_Sep2007;Percent;72;
106;Australia;Male;2005;UNESCO_UIS Database_Sep2007;Percent;64;
107;Australia;Male;2004;UNESCO_UIS Database_Sep2007;Percent;65;
108;Australia;Male;2003;UNESCO_UIS Database_Sep2007;Percent;67;
109;Australia;Male;2002;UNESCO_UIS Database_Sep2007;Percent;69;
110;Australia;Male;2001;UNESCO_UIS Database_Sep2007;Percent;60;
111;Australia;Male;2000;UNESCO_UIS Database_Sep2007;Percent;59;
112;Australia;Male;1999;UNESCO_UIS Database_Sep2007;Percent;59;
113;Austria;Female;2005;UNESCO_UIS Database_Sep2007;Percent;55;
114;Austria;Female;2004;UNESCO_UIS Database_Sep2007;Percent;54;
115;Austria;Female;2003;UNESCO_UIS Database_Sep2007;Percent;53;
116;Austria;Female;2002;UNESCO_UIS Database_Sep2007;Percent;52;
117;Austria;Female;2001;UNESCO_UIS Database_Sep2007;Percent;61;
118;Austria;Female;2000;UNESCO_UIS Database_Sep2007;Percent;59;
119;Austria;Female;1999;UNESCO_UIS Database_Sep2007;Percent;55;
120;Austria;Male;2005;UNESCO_UIS Database_Sep2007;Percent;46;
121;Austria;Male;2004;UNESCO_UIS Database_Sep2007;Percent;46;
122;Austria;Male;2003;UNESCO_UIS Database_Sep2007;Percent;45;
123;Austria;Male;2002;UNESCO_UIS Database_Sep2007;Percent;44;
124;Austria;Male;2001;UNESCO_UIS Database_Sep2007;Percent;54;
125;Austria;Male;2000;UNESCO_UIS Database_Sep2007;Percent;54;
126;Austria;Male;1999;UNESCO_UIS Database_Sep2007;Percent;52;
127;Azerbaijan;Female;2005;UNESCO_UIS Database_Sep2007;Percent;14;
128;Azerbaijan;Female;2004;UNESCO_UIS Database_Sep2007;Percent;14;
129;Azerbaijan;Female;2003;UNESCO_UIS Database_Sep2007;Percent;14;
130;Azerbaijan;Female;2002;UNESCO_UIS Database_Sep2007;Percent;14;
131;Azerbaijan;Female;2001;UNESCO_UIS Database_Sep2007;Percent;14;
132;Azerbaijan;Female;2000;UNESCO_UIS Database_Sep2007;Percent;13;
133;Azerbaijan;Female;1999;UNESCO_UIS Database_Sep2007;Percent;12;
134;Azerbaijan;Male;2005;UNESCO_UIS Database_Sep2007;Percent;16;
135;Azerbaijan;Male;2004;UNESCO_UIS Database_Sep2007;Percent;16;
136;Azerbaijan;Male;2003;UNESCO_UIS Database_Sep2007;Percent;17;
137;Azerbaijan;Male;2002;UNESCO_UIS Database_Sep2007;Percent;18;
138;Azerbaijan;Male;2001;UNESCO_UIS Database_Sep2007;Percent;19;
139;Azerbaijan;Male;2000;UNESCO_UIS Database_Sep2007;Percent;20;
140;Azerbaijan;Male;1999;UNESCO_UIS Database_Sep2007;Percent;19;
141;Bahamas;Female;2005;UNESCO_UIS Database_Sep2007;Percent;…;5
142;Bahamas;Female;2004;UNESCO_UIS Database_Sep2007;Percent;…;5
143;Bahamas;Female;2003;UNESCO_UIS Database_Sep2007;Percent;…;5
144;Bahamas;Female;2002;UNESCO_UIS Database_Sep2007;Percent;…;5
145;Bahamas;Female;2001;UNESCO_UIS Database_Sep2007;Percent;…;5
146;Bahamas;Female;2000;UNESCO_UIS Database_Sep2007;Percent;…;5
147;Bahamas;Female;1999;UNESCO_UIS Database_Sep2007;Percent;…;5
148;Bahamas;Male;2005;UNESCO_UIS Database_Sep2007;Percent;…;5
149;Bahamas;Male;2004;UNESCO_UIS Database_Sep2007;Percent;…;5
150;Bahamas;Male;2003;UNESCO_UIS Database_Sep2007;Percent;…;5
151;Bahamas;Male;2002;UNESCO_UIS Database_Sep2007;Percent;…;5
152;Bahamas;Male;2001;UNESCO_UIS Database_Sep2007;Percent;…;5
153;Bahamas;Male;2000;UNESCO_UIS Database_Sep2007;Percent;…;5
154;Bahamas;Male;1999;UNESCO_UIS Database_Sep2007;Percent;…;5
155;Bahrain;Female;2005;UNESCO_UIS Database_Sep2007;Percent;50;
156;Bahrain;Female;2004;UNESCO_UIS Database_Sep2007;Percent;45;3
157;Bahrain;Female;2003;UNESCO_UIS Database_Sep2007;Percent;45;
158;Bahrain;Female;1999;UNESCO_UIS Database_Sep2007;Percent;27;3
159;Bahrain;Male;2005;UNESCO_UIS Database_Sep2007;Percent;22;
160;Bahrain;Male;2004;UNESCO_UIS Database_Sep2007;Percent;25;3
161;Bahrain;Male;2003;UNESCO_UIS Database_Sep2007;Percent;25;
162;Bahrain;Male;1999;UNESCO_UIS Database_Sep2007;Percent;16;3
163;Bangladesh;Female;2005;UNESCO_UIS Database_Sep2007;Percent;4;
164;Bangladesh;Female;2004;UNESCO_UIS Database_Sep2007;Percent;4;
165;Bangladesh;Female;2003;UNESCO_UIS Database_Sep2007;Percent;4;
166;Bangladesh;Female;2002;UNESCO_UIS Database_Sep2007;Percent;4;
167;Bangladesh;Female;2001;UNESCO_UIS Database_Sep2007;Percent;5;
168;Bangladesh;Female;2000;UNESCO_UIS Database_Sep2007;Percent;4;
169;Bangladesh;Female;1999;UNESCO_UIS Database_Sep2007;Percent;4;
170;Bangladesh;Male;2005;UNESCO_UIS Database_Sep2007;Percent;8;
171;Bangladesh;Male;2004;UNESCO_UIS Database_Sep2007;Percent;8;
172;Bangladesh;Male;2003;UNESCO_UIS Database_Sep2007;Percent;9;
173;Bangladesh;Male;2002;UNESCO_UIS Database_Sep2007;Percent;9;
174;Bangladesh;Male;2001;UNESCO_UIS Database_Sep2007;Percent;9;
175;Bangladesh;Male;2000;UNESCO_UIS Database_Sep2007;Percent;8;
176;Bangladesh;Male;1999;UNESCO_UIS Database_Sep2007;Percent;8;
177;Barbados;Female;2001;UNESCO_UIS Database_Sep2007;Percent;54;
178;Barbados;Female;2000;UNESCO_UIS Database_Sep2007;Percent;56;
179;Barbados;Female;1999;UNESCO_UIS Database_Sep2007;Percent;46;
180;Barbados;Male;2001;UNESCO_UIS Database_Sep2007;Percent;22;
181;Barbados;Male;2000;UNESCO_UIS Database_Sep2007;Percent;21;
182;Barbados;Male;1999;UNESCO_UIS Database_Sep2007;Percent;20;
183;Belarus;Female;2005;UNESCO_UIS Database_Sep2007;Percent;72;
184;Belarus;Female;2004;UNESCO_UIS Database_Sep2007;Percent;71;
185;Belarus;Female;2003;UNESCO_UIS Database_Sep2007;Percent;70;
186;Belarus;Female;2002;UNESCO_UIS Database_Sep2007;Percent;68;
187;Belarus;Female;2001;UNESCO_UIS Database_Sep2007;Percent;65;
188;Belarus;Female;2000;UNESCO_UIS Database_Sep2007;Percent;63;
189;Belarus;Female;1999;UNESCO_UIS Database_Sep2007;Percent;59;
190;Belarus;Male;2005;UNESCO_UIS Database_Sep2007;Percent;53;
191;Belarus;Male;2004;UNESCO_UIS Database_Sep2007;Percent;51;
192;Belarus;Male;2003;UNESCO_UIS Database_Sep2007;Percent;50;
193;Belarus;Male;2002;UNESCO_UIS Database_Sep2007;Percent;49;
194;Belarus;Male;2001;UNESCO_UIS Database_Sep2007;Percent;48;
195;Belarus;Male;2000;UNESCO_UIS Database_Sep2007;Percent;47;
196;Belarus;Male;1999;UNESCO_UIS Database_Sep2007;Percent;45;
197;Belgium;Female;2005;UNESCO_UIS Database_Sep2007;Percent;70;
198;Belgium;Female;2004;UNESCO_UIS Database_Sep2007;Percent;69;
199;Belgium;Female;2003;UNESCO_UIS Database_Sep2007;Percent;66;
200;Belgium;Female;2002;UNESCO_UIS Database_Sep2007;Percent;64;
201;Belgium;Female;2001;UNESCO_UIS Database_Sep2007;Percent;62;
202;Belgium;Female;2000;UNESCO_UIS Database_Sep2007;Percent;61;
203;Belgium;Female;1999;UNESCO_UIS Database_Sep2007;Percent;60;
204;Belgium;Male;2005;UNESCO_UIS Database_Sep2007;Percent;56;
205;Belgium;Male;2004;UNESCO_UIS Database_Sep2007;Percent;57;
206;Belgium;Male;2003;UNESCO_UIS Database_Sep2007;Percent;56;
207;Belgium;Male;2002;UNESCO_UIS Database_Sep2007;Percent;55;
208;Belgium;Male;2001;UNESCO_UIS Database_Sep2007;Percent;54;
209;Belgium;Male;2000;UNESCO_UIS Database_Sep2007;Percent;54;
210;Belgium;Male;1999;UNESCO_UIS Database_Sep2007;Percent;52;
211;Belize;Female;2004;UNESCO_UIS Database_Sep2007;Percent;4;
212;Belize;Female;2003;UNESCO_UIS Database_Sep2007;Percent;3;4
213;Belize;Male;2004;UNESCO_UIS Database_Sep2007;Percent;2;
214;Belize;Male;2003;UNESCO_UIS Database_Sep2007;Percent;1;4
215;Benin;Female;2001;UNESCO_UIS Database_Sep2007;Percent;1;3
216;Benin;Female;2000;UNESCO_UIS Database_Sep2007;Percent;1;
217;Benin;Female;1999;UNESCO_UIS Database_Sep2007;Percent;1;
218;Benin;Male;2001;UNESCO_UIS Database_Sep2007;Percent;5;3
219;Benin;Male;2000;UNESCO_UIS Database_Sep2007;Percent;5;
220;Benin;Male;1999;UNESCO_UIS Database_Sep2007;Percent;4;
221;Bermuda;Female;2002;UNESCO_UIS Database_Sep2007;Percent;66;4
222;Bermuda;Female;2001;UNESCO_UIS Database_Sep2007;Percent;66;4
223;Bermuda;Male;2002;UNESCO_UIS Database_Sep2007;Percent;56;4
224;Bermuda;Male;2001;UNESCO_UIS Database_Sep2007;Percent;56;4
225;Botswana;Female;2005;UNESCO_UIS Database_Sep2007;Percent;5;
226;Botswana;Female;2004;UNESCO_UIS Database_Sep2007;Percent;4;
227;Botswana;Female;2002;UNESCO_UIS Database_Sep2007;Percent;4;
228;Botswana;Female;2001;UNESCO_UIS Database_Sep2007;Percent;4;
229;Botswana;Female;2000;UNESCO_UIS Database_Sep2007;Percent;3;
230;Botswana;Female;1999;UNESCO_UIS Database_Sep2007;Percent;3;
231;Botswana;Male;2005;UNESCO_UIS Database_Sep2007;Percent;5;
232;Botswana;Male;2004;UNESCO_UIS Database_Sep2007;Percent;5;
233;Botswana;Male;2002;UNESCO_UIS Database_Sep2007;Percent;5;
234;Botswana;Male;2001;UNESCO_UIS Database_Sep2007;Percent;4;
235;Botswana;Male;2000;UNESCO_UIS Database_Sep2007;Percent;4;
236;Botswana;Male;1999;UNESCO_UIS Database_Sep2007;Percent;3;
237;Brazil;Female;2004;UNESCO_UIS Database_Sep2007;Percent;27;
238;Brazil;Female;2003;UNESCO_UIS Database_Sep2007;Percent;25;
239;Brazil;Female;2002;UNESCO_UIS Database_Sep2007;Percent;23;
240;Brazil;Female;2001;UNESCO_UIS Database_Sep2007;Percent;20;
241;Brazil;Female;2000;UNESCO_UIS Database_Sep2007;Percent;18;
242;Brazil;Female;1999;UNESCO_UIS Database_Sep2007;Percent;16;
243;Brazil;Male;2004;UNESCO_UIS Database_Sep2007;Percent;21;
244;Brazil;Male;2003;UNESCO_UIS Database_Sep2007;Percent;19;
245;Brazil;Male;2002;UNESCO_UIS Database_Sep2007;Percent;17;
246;Brazil;Male;2001;UNESCO_UIS Database_Sep2007;Percent;15;
247;Brazil;Male;2000;UNESCO_UIS Database_Sep2007;Percent;14;
248;Brazil;Male;1999;UNESCO_UIS Database_Sep2007;Percent;13;
249;British Virgin Islands;Female;2005;UNESCO_UIS Database_Sep2007;Percent;106;4
250;British Virgin Islands;Female;2004;UNESCO_UIS Database_Sep2007;Percent;102;4
251;British Virgin Islands;Female;2003;UNESCO_UIS Database_Sep2007;Percent;99;4
252;British Virgin Islands;Female;2002;UNESCO_UIS Database_Sep2007;Percent;72;4
253;British Virgin Islands;Female;2001;UNESCO_UIS Database_Sep2007;Percent;59;4
254;British Virgin Islands;Female;2000;UNESCO_UIS Database_Sep2007;Percent;76;4
255;British Virgin Islands;Female;1999;UNESCO_UIS Database_Sep2007;Percent;86;4
256;British Virgin Islands;Male;2005;UNESCO_UIS Database_Sep2007;Percent;46;4
257;British Virgin Islands;Male;2004;UNESCO_UIS Database_Sep2007;Percent;44;4
258;British Virgin Islands;Male;2003;UNESCO_UIS Database_Sep2007;Percent;37;4
259;British Virgin Islands;Male;2002;UNESCO_UIS Database_Sep2007;Percent;31;4
260;British Virgin Islands;Male;2001;UNESCO_UIS Database_Sep2007;Percent;33;4
261;British Virgin Islands;Male;2000;UNESCO_UIS Database_Sep2007;Percent;28;4
262;British Virgin Islands;Male;1999;UNESCO_UIS Database_Sep2007;Percent;36;4
263;Brunei;Female;2005;UNESCO_UIS Database_Sep2007;Percent;20;
264;Brunei;Female;2004;UNESCO_UIS Database_Sep2007;Percent;20;
265;Brunei;Female;2003;UNESCO_UIS Database_Sep2007;Percent;18;
266;Brunei;Female;2002;UNESCO_UIS Database_Sep2007;Percent;18;3
267;Brunei;Female;2001;UNESCO_UIS Database_Sep2007;Percent;18;
268;Brunei;Female;2000;UNESCO_UIS Database_Sep2007;Percent;16;
269;Brunei;Female;1999;UNESCO_UIS Database_Sep2007;Percent;16;
270;Brunei;Male;2005;UNESCO_UIS Database_Sep2007;Percent;10;
271;Brunei;Male;2004;UNESCO_UIS Database_Sep2007;Percent;10;
272;Brunei;Male;2003;UNESCO_UIS Database_Sep2007;Percent;10;
273;Brunei;Male;2002;UNESCO_UIS Database_Sep2007;Percent;10;3
274;Brunei;Male;2001;UNESCO_UIS Database_Sep2007;Percent;10;
275;Brunei;Male;2000;UNESCO_UIS Database_Sep2007;Percent;9;
276;Brunei;Male;1999;UNESCO_UIS Database_Sep2007;Percent;8;
277;Bulgaria;Female;2005;UNESCO_UIS Database_Sep2007;Percent;47;
278;Bulgaria;Female;2004;UNESCO_UIS Database_Sep2007;Percent;44;
279;Bulgaria;Female;2003;UNESCO_UIS Database_Sep2007;Percent;44;
280;Bulgaria;Female;2002;UNESCO_UIS Database_Sep2007;Percent;44;
281;Bulgaria;Female;2001;UNESCO_UIS Database_Sep2007;Percent;49;
282;Bulgaria;Female;2000;UNESCO_UIS Database_Sep2007;Percent;52;
283;Bulgaria;Female;1999;UNESCO_UIS Database_Sep2007;Percent;56;
284;Bulgaria;Male;2005;UNESCO_UIS Database_Sep2007;Percent;41;
285;Bulgaria;Male;2004;UNESCO_UIS Database_Sep2007;Percent;38;
286;Bulgaria;Male;2003;UNESCO_UIS Database_Sep2007;Percent;37;
287;Bulgaria;Male;2002;UNESCO_UIS Database_Sep2007;Percent;36;
288;Bulgaria;Male;2001;UNESCO_UIS Database_Sep2007;Percent;36;
289;Bulgaria;Male;2000;UNESCO_UIS Database_Sep2007;Percent;37;
290;Bulgaria;Male;1999;UNESCO_UIS Database_Sep2007;Percent;36;
291;Burkina Faso;Female;2005;UNESCO_UIS Database_Sep2007;Percent;1;
292;Burkina Faso;Female;2004;UNESCO_UIS Database_Sep2007;Percent;1;3
293;Burkina Faso;Female;2003;UNESCO_UIS Database_Sep2007;Percent;1;
294;Burkina Faso;Female;2002;UNESCO_UIS Database_Sep2007;Percent;1;
295;Burkina Faso;Female;2001;UNESCO_UIS Database_Sep2007;Percent;1;3
296;Burkina Faso;Female;2000;UNESCO_UIS Database_Sep2007;Percent;…;5
297;Burkina Faso;Female;1999;UNESCO_UIS Database_Sep2007;Percent;-;1
298;Burkina Faso;Male;2005;UNESCO_UIS Database_Sep2007;Percent;3;
299;Burkina Faso;Male;2004;UNESCO_UIS Database_Sep2007;Percent;3;3
300;Burkina Faso;Male;2003;UNESCO_UIS Database_Sep2007;Percent;3;
301;Burkina Faso;Male;2002;UNESCO_UIS Database_Sep2007;Percent;2;
302;Burkina Faso;Male;2001;UNESCO_UIS Database_Sep2007;Percent;2;3
303;Burkina Faso;Male;2000;UNESCO_UIS Database_Sep2007;Percent;…;5
304;Burkina Faso;Male;1999;UNESCO_UIS Database_Sep2007;Percent;2;
305;Burundi;Female;2005;UNESCO_UIS Database_Sep2007;Percent;1;3
306;Burundi;Female;2004;UNESCO_UIS Database_Sep2007;Percent;1;
307;Burundi;Female;2003;UNESCO_UIS Database_Sep2007;Percent;1;3
308;Burundi;Female;2002;UNESCO_UIS Database_Sep2007;Percent;1;
309;Burundi;Female;2001;UNESCO_UIS Database_Sep2007;Percent;1;
310;Burundi;Female;2000;UNESCO_UIS Database_Sep2007;Percent;1;
311;Burundi;Female;1999;UNESCO_UIS Database_Sep2007;Percent;1;
312;Burundi;Male;2005;UNESCO_UIS Database_Sep2007;Percent;3;3
313;Burundi;Male;2004;UNESCO_UIS Database_Sep2007;Percent;3;
314;Burundi;Male;2003;UNESCO_UIS Database_Sep2007;Percent;3;3
315;Burundi;Male;2002;UNESCO_UIS Database_Sep2007;Percent;3;
316;Burundi;Male;2001;UNESCO_UIS Database_Sep2007;Percent;2;
317;Burundi;Male;2000;UNESCO_UIS Database_Sep2007;Percent;2;
318;Burundi;Male;1999;UNESCO_UIS Database_Sep2007;Percent;1;
319;Cambodia;Female;2005;UNESCO_UIS Database_Sep2007;Percent;2;
320;Cambodia;Female;2004;UNESCO_UIS Database_Sep2007;Percent;2;
321;Cambodia;Female;2003;UNESCO_UIS Database_Sep2007;Percent;2;3
322;Cambodia;Female;2002;UNESCO_UIS Database_Sep2007;Percent;1;
323;Cambodia;Female;2001;UNESCO_UIS Database_Sep2007;Percent;1;
324;Cambodia;Female;2000;UNESCO_UIS Database_Sep2007;Percent;1;
325;Cambodia;Male;2005;UNESCO_UIS Database_Sep2007;Percent;5;
326;Cambodia;Male;2004;UNESCO_UIS Database_Sep2007;Percent;4;
327;Cambodia;Male;2003;UNESCO_UIS Database_Sep2007;Percent;4;3
328;Cambodia;Male;2002;UNESCO_UIS Database_Sep2007;Percent;4;
329;Cambodia;Male;2001;UNESCO_UIS Database_Sep2007;Percent;3;
330;Cambodia;Male;2000;UNESCO_UIS Database_Sep2007;Percent;3;
331;Cameroon;Female;2005;UNESCO_UIS Database_Sep2007;Percent;5;3
332;Cameroon;Female;2004;UNESCO_UIS Database_Sep2007;Percent;4;3
333;Cameroon;Female;2003;UNESCO_UIS Database_Sep2007;Percent;4;3
334;Cameroon;Female;2002;UNESCO_UIS Database_Sep2007;Percent;4;3
335;Cameroon;Male;2005;UNESCO_UIS Database_Sep2007;Percent;7;3
336;Cameroon;Male;2004;UNESCO_UIS Database_Sep2007;Percent;6;3
337;Cameroon;Male;2003;UNESCO_UIS Database_Sep2007;Percent;6;3
338;Cameroon;Male;2002;UNESCO_UIS Database_Sep2007;Percent;6;3
339;Canada;Female;2004;UNESCO_UIS Database_Sep2007;Percent;72;3
340;Canada;Female;2002;UNESCO_UIS Database_Sep2007;Percent;70;
341;Canada;Female;2000;UNESCO_UIS Database_Sep2007;Percent;68;
342;Canada;Female;1999;UNESCO_UIS Database_Sep2007;Percent;69;
343;Canada;Male;2004;UNESCO_UIS Database_Sep2007;Percent;53;3
344;Canada;Male;2002;UNESCO_UIS Database_Sep2007;Percent;51;
345;Canada;Male;2000;UNESCO_UIS Database_Sep2007;Percent;50;
346;Canada;Male;1999;UNESCO_UIS Database_Sep2007;Percent;51;
347;Cape Verde;Female;2005;UNESCO_UIS Database_Sep2007;Percent;7;
348;Cape Verde;Female;2004;UNESCO_UIS Database_Sep2007;Percent;6;
349;Cape Verde;Female;2003;UNESCO_UIS Database_Sep2007;Percent;4;
350;Cape Verde;Female;2002;UNESCO_UIS Database_Sep2007;Percent;4;
351;Cape Verde;Female;2001;UNESCO_UIS Database_Sep2007;Percent;1;3
352;Cape Verde;Female;2000;UNESCO_UIS Database_Sep2007;Percent;2;3
353;Cape Verde;Male;2005;UNESCO_UIS Database_Sep2007;Percent;7;
354;Cape Verde;Male;2004;UNESCO_UIS Database_Sep2007;Percent;5;
355;Cape Verde;Male;2003;UNESCO_UIS Database_Sep2007;Percent;4;
