"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Armenia","Female","1999","UNESCO_UIS Database_Sep2007","Percent","25",""
"Armenia","Male","2005","UNESCO_UIS Database_Sep2007","Percent","25",""
"Armenia","Male","2004","UNESCO_UIS Database_Sep2007","Percent","24",""
"Armenia","Male","2003","UNESCO_UIS Database_Sep2007","Percent","24",""
"Armenia","Male","2002","UNESCO_UIS Database_Sep2007","Percent","25",""
"Armenia","Male","2001","UNESCO_UIS Database_Sep2007","Percent","23",""
"Armenia","Male","2000","UNESCO_UIS Database_Sep2007","Percent","23",""
"Armenia","Male","1999","UNESCO_UIS Database_Sep2007","Percent","22",""
"Aruba","Female","2005","UNESCO_UIS Database_Sep2007","Percent","40","4"
"Aruba","Female","2004","UNESCO_UIS Database_Sep2007","Percent","34","4"
"Aruba","Female","2003","UNESCO_UIS Database_Sep2007","Percent","34","4"
"Aruba","Female","2002","UNESCO_UIS Database_Sep2007","Percent","33","4"
"Aruba","Female","2001","UNESCO_UIS Database_Sep2007","Percent","35","4"
"Aruba","Female","2000","UNESCO_UIS Database_Sep2007","Percent","35","4"
"Aruba","Female","1999","UNESCO_UIS Database_Sep2007","Percent","28","4"
"Aruba","Male","2005","UNESCO_UIS Database_Sep2007","Percent","27","4"
"Aruba","Male","2004","UNESCO_UIS Database_Sep2007","Percent","23","4"
"Aruba","Male","2003","UNESCO_UIS Database_Sep2007","Percent","24","4"
"Aruba","Male","2002","UNESCO_UIS Database_Sep2007","Percent","22","4"
"Aruba","Male","2001","UNESCO_UIS Database_Sep2007","Percent","23","4"
"Aruba","Male","2000","UNESCO_UIS Database_Sep2007","Percent","23","4"
"Aruba","Male","1999","UNESCO_UIS Database_Sep2007","Percent","24","4"
"Australia","Female","2005","UNESCO_UIS Database_Sep2007","Percent","80",""
"Australia","Female","2004","UNESCO_UIS Database_Sep2007","Percent","80",""
"Australia","Female","2003","UNESCO_UIS Database_Sep2007","Percent","82",""
"Australia","Female","2002","UNESCO_UIS Database_Sep2007","Percent","84",""
"Australia","Female","2001","UNESCO_UIS Database_Sep2007","Percent","73",""
"Australia","Female","2000","UNESCO_UIS Database_Sep2007","Percent","72",""
"Australia","Female","1999","UNESCO_UIS Database_Sep2007","Percent","72",""
"Australia","Male","2005","UNESCO_UIS Database_Sep2007","Percent","64",""
"Australia","Male","2004","UNESCO_UIS Database_Sep2007","Percent","65",""
"Australia","Male","2003","UNESCO_UIS Database_Sep2007","Percent","67",""
"Australia","Male","2002","UNESCO_UIS Database_Sep2007","Percent","69",""
"Australia","Male","2001","UNESCO_UIS Database_Sep2007","Percent","60",""
"Australia","Male","2000","UNESCO_UIS Database_Sep2007","Percent","59",""
"Australia","Male","1999","UNESCO_UIS Database_Sep2007","Percent","59",""
"Austria","Female","2005","UNESCO_UIS Database_Sep2007","Percent","55",""
"Austria","Female","2004","UNESCO_UIS Database_Sep2007","Percent","54",""
"Austria","Female","2003","UNESCO_UIS Database_Sep2007","Percent","53",""
"Austria","Female","2002","UNESCO_UIS Database_Sep2007","Percent","52",""
"Austria","Female","2001","UNESCO_UIS Database_Sep2007","Percent","61",""
"Austria","Female","2000","UNESCO_UIS Database_Sep2007","Percent","59",""
"Austria","Female","1999","UNESCO_UIS Database_Sep2007","Percent","55",""
"Austria","Male","2005","UNESCO_UIS Database_Sep2007","Percent","46",""
"Austria","Male","2004","UNESCO_UIS Database_Sep2007","Percent","46",""
"Austria","Male","2003","UNESCO_UIS Database_Sep2007","Percent","45",""
"Austria","Male","2002","UNESCO_UIS Database_Sep2007","Percent","44",""
"Austria","Male","2001","UNESCO_UIS Database_Sep2007","Percent","54",""
"Austria","Male","2000","UNESCO_UIS Database_Sep2007","Percent","54",""
"Austria","Male","1999","UNESCO_UIS Database_Sep2007","Percent","52",""
"Azerbaijan","Female","2005","UNESCO_UIS Database_Sep2007","Percent","14",""
"Azerbaijan","Female","2004","UNESCO_UIS Database_Sep2007","Percent","14",""
"Azerbaijan","Female","2003","UNESCO_UIS Database_Sep2007","Percent","14",""
"Azerbaijan","Female","2002","UNESCO_UIS Database_Sep2007","Percent","14",""
"Azerbaijan","Female","2001","UNESCO_UIS Database_Sep2007","Percent","14",""
"Azerbaijan","Female","2000","UNESCO_UIS Database_Sep2007","Percent","13",""
"Azerbaijan","Female","1999","UNESCO_UIS Database_Sep2007","Percent","12",""
"Azerbaijan","Male","2005","UNESCO_UIS Database_Sep2007","Percent","16",""
"Azerbaijan","Male","2004","UNESCO_UIS Database_Sep2007","Percent","16",""
"Azerbaijan","Male","2003","UNESCO_UIS Database_Sep2007","Percent","17",""
"Azerbaijan","Male","2002","UNESCO_UIS Database_Sep2007","Percent","18",""
"Azerbaijan","Male","2001","UNESCO_UIS Database_Sep2007","Percent","19",""
"Azerbaijan","Male","2000","UNESCO_UIS Database_Sep2007","Percent","20",""
"Azerbaijan","Male","1999","UNESCO_UIS Database_Sep2007","Percent","19",""
"Bahamas","Female","2005","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Bahamas","Female","2004","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Bahamas","Female","2003","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Bahamas","Female","2002","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Bahamas","Female","2001","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Bahamas","Female","2000","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Bahamas","Female","1999","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Bahamas","Male","2005","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Bahamas","Male","2004","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Bahamas","Male","2003","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Bahamas","Male","2002","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Bahamas","Male","2001","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Bahamas","Male","2000","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Bahamas","Male","1999","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Bahrain","Female","2005","UNESCO_UIS Database_Sep2007","Percent","50",""
"Bahrain","Female","2004","UNESCO_UIS Database_Sep2007","Percent","45","3"
"Bahrain","Female","2003","UNESCO_UIS Database_Sep2007","Percent","45",""
"Bahrain","Female","1999","UNESCO_UIS Database_Sep2007","Percent","27","3"
"Bahrain","Male","2005","UNESCO_UIS Database_Sep2007","Percent","22",""
"Bahrain","Male","2004","UNESCO_UIS Database_Sep2007","Percent","25","3"
"Bahrain","Male","2003","UNESCO_UIS Database_Sep2007","Percent","25",""
"Bahrain","Male","1999","UNESCO_UIS Database_Sep2007","Percent","16","3"
"Bangladesh","Female","2005","UNESCO_UIS Database_Sep2007","Percent","4",""
"Bangladesh","Female","2004","UNESCO_UIS Database_Sep2007","Percent","4",""
"Bangladesh","Female","2003","UNESCO_UIS Database_Sep2007","Percent","4",""
"Bangladesh","Female","2002","UNESCO_UIS Database_Sep2007","Percent","4",""
"Bangladesh","Female","2001","UNESCO_UIS Database_Sep2007","Percent","5",""
"Bangladesh","Female","2000","UNESCO_UIS Database_Sep2007","Percent","4",""
"Bangladesh","Female","1999","UNESCO_UIS Database_Sep2007","Percent","4",""
"Bangladesh","Male","2005","UNESCO_UIS Database_Sep2007","Percent","8",""
"Bangladesh","Male","2004","UNESCO_UIS Database_Sep2007","Percent","8",""
"Bangladesh","Male","2003","UNESCO_UIS Database_Sep2007","Percent","9",""
"Bangladesh","Male","2002","UNESCO_UIS Database_Sep2007","Percent","9",""
"Bangladesh","Male","2001","UNESCO_UIS Database_Sep2007","Percent","9",""
"Bangladesh","Male","2000","UNESCO_UIS Database_Sep2007","Percent","8",""
"Bangladesh","Male","1999","UNESCO_UIS Database_Sep2007","Percent","8",""
"Barbados","Female","2001","UNESCO_UIS Database_Sep2007","Percent","54",""
"Barbados","Female","2000","UNESCO_UIS Database_Sep2007","Percent","56",""
"Barbados","Female","1999","UNESCO_UIS Database_Sep2007","Percent","46",""
"Barbados","Male","2001","UNESCO_UIS Database_Sep2007","Percent","22",""
"Barbados","Male","2000","UNESCO_UIS Database_Sep2007","Percent","21",""
"Barbados","Male","1999","UNESCO_UIS Database_Sep2007","Percent","20",""
"Belarus","Female","2005","UNESCO_UIS Database_Sep2007","Percent","72",""
"Belarus","Female","2004","UNESCO_UIS Database_Sep2007","Percent","71",""
"Belarus","Female","2003","UNESCO_UIS Database_Sep2007","Percent","70",""
"Belarus","Female","2002","UNESCO_UIS Database_Sep2007","Percent","68",""
"Belarus","Female","2001","UNESCO_UIS Database_Sep2007","Percent","65",""
"Belarus","Female","2000","UNESCO_UIS Database_Sep2007","Percent","63",""
"Belarus","Female","1999","UNESCO_UIS Database_Sep2007","Percent","59",""
"Belarus","Male","2005","UNESCO_UIS Database_Sep2007","Percent","53",""
"Belarus","Male","2004","UNESCO_UIS Database_Sep2007","Percent","51",""
"Belarus","Male","2003","UNESCO_UIS Database_Sep2007","Percent","50",""
"Belarus","Male","2002","UNESCO_UIS Database_Sep2007","Percent","49",""
"Belarus","Male","2001","UNESCO_UIS Database_Sep2007","Percent","48",""
"Belarus","Male","2000","UNESCO_UIS Database_Sep2007","Percent","47",""
"Belarus","Male","1999","UNESCO_UIS Database_Sep2007","Percent","45",""
"Belgium","Female","2005","UNESCO_UIS Database_Sep2007","Percent","70",""
"Belgium","Female","2004","UNESCO_UIS Database_Sep2007","Percent","69",""
"Belgium","Female","2003","UNESCO_UIS Database_Sep2007","Percent","66",""
"Belgium","Female","2002","UNESCO_UIS Database_Sep2007","Percent","64",""
"Belgium","Female","2001","UNESCO_UIS Database_Sep2007","Percent","62",""
"Belgium","Female","2000","UNESCO_UIS Database_Sep2007","Percent","61",""
"Belgium","Female","1999","UNESCO_UIS Database_Sep2007","Percent","60",""
"Belgium","Male","2005","UNESCO_UIS Database_Sep2007","Percent","56",""
"Belgium","Male","2004","UNESCO_UIS Database_Sep2007","Percent","57",""
"Belgium","Male","2003","UNESCO_UIS Database_Sep2007","Percent","56",""
"Belgium","Male","2002","UNESCO_UIS Database_Sep2007","Percent","55",""
"Belgium","Male","2001","UNESCO_UIS Database_Sep2007","Percent","54",""
"Belgium","Male","2000","UNESCO_UIS Database_Sep2007","Percent","54",""
"Belgium","Male","1999","UNESCO_UIS Database_Sep2007","Percent","52",""
"Belize","Female","2004","UNESCO_UIS Database_Sep2007","Percent","4",""
"Belize","Female","2003","UNESCO_UIS Database_Sep2007","Percent","3","4"
"Belize","Male","2004","UNESCO_UIS Database_Sep2007","Percent","2",""
"Belize","Male","2003","UNESCO_UIS Database_Sep2007","Percent","1","4"
"Benin","Female","2001","UNESCO_UIS Database_Sep2007","Percent","1","3"
"Benin","Female","2000","UNESCO_UIS Database_Sep2007","Percent","1",""
"Benin","Female","1999","UNESCO_UIS Database_Sep2007","Percent","1",""
"Benin","Male","2001","UNESCO_UIS Database_Sep2007","Percent","5","3"
"Benin","Male","2000","UNESCO_UIS Database_Sep2007","Percent","5",""
"Benin","Male","1999","UNESCO_UIS Database_Sep2007","Percent","4",""
"Bermuda","Female","2002","UNESCO_UIS Database_Sep2007","Percent","66","4"
"Bermuda","Female","2001","UNESCO_UIS Database_Sep2007","Percent","66","4"
"Bermuda","Male","2002","UNESCO_UIS Database_Sep2007","Percent","56","4"
"Bermuda","Male","2001","UNESCO_UIS Database_Sep2007","Percent","56","4"
"Botswana","Female","2005","UNESCO_UIS Database_Sep2007","Percent","5",""
"Botswana","Female","2004","UNESCO_UIS Database_Sep2007","Percent","4",""
"Botswana","Female","2002","UNESCO_UIS Database_Sep2007","Percent","4",""
"Botswana","Female","2001","UNESCO_UIS Database_Sep2007","Percent","4",""
"Botswana","Female","2000","UNESCO_UIS Database_Sep2007","Percent","3",""
"Botswana","Female","1999","UNESCO_UIS Database_Sep2007","Percent","3",""
"Botswana","Male","2005","UNESCO_UIS Database_Sep2007","Percent","5",""
"Botswana","Male","2004","UNESCO_UIS Database_Sep2007","Percent","5",""
"Botswana","Male","2002","UNESCO_UIS Database_Sep2007","Percent","5",""
"Botswana","Male","2001","UNESCO_UIS Database_Sep2007","Percent","4",""
"Botswana","Male","2000","UNESCO_UIS Database_Sep2007","Percent","4",""
"Botswana","Male","1999","UNESCO_UIS Database_Sep2007","Percent","3",""
"Brazil","Female","2004","UNESCO_UIS Database_Sep2007","Percent","27",""
"Brazil","Female","2003","UNESCO_UIS Database_Sep2007","Percent","25",""
"Brazil","Female","2002","UNESCO_UIS Database_Sep2007","Percent","23",""
"Brazil","Female","2001","UNESCO_UIS Database_Sep2007","Percent","20",""
"Brazil","Female","2000","UNESCO_UIS Database_Sep2007","Percent","18",""
"Brazil","Female","1999","UNESCO_UIS Database_Sep2007","Percent","16",""
"Brazil","Male","2004","UNESCO_UIS Database_Sep2007","Percent","21",""
"Brazil","Male","2003","UNESCO_UIS Database_Sep2007","Percent","19",""
"Brazil","Male","2002","UNESCO_UIS Database_Sep2007","Percent","17",""
"Brazil","Male","2001","UNESCO_UIS Database_Sep2007","Percent","15",""
"Brazil","Male","2000","UNESCO_UIS Database_Sep2007","Percent","14",""
"Brazil","Male","1999","UNESCO_UIS Database_Sep2007","Percent","13",""
"British Virgin Islands","Female","2005","UNESCO_UIS Database_Sep2007","Percent","106","4"
"British Virgin Islands","Female","2004","UNESCO_UIS Database_Sep2007","Percent","102","4"
"British Virgin Islands","Female","2003","UNESCO_UIS Database_Sep2007","Percent","99","4"
"British Virgin Islands","Female","2002","UNESCO_UIS Database_Sep2007","Percent","72","4"
"British Virgin Islands","Female","2001","UNESCO_UIS Database_Sep2007","Percent","59","4"
"British Virgin Islands","Female","2000","UNESCO_UIS Database_Sep2007","Percent","76","4"
"British Virgin Islands","Female","1999","UNESCO_UIS Database_Sep2007","Percent","86","4"
"British Virgin Islands","Male","2005","UNESCO_UIS Database_Sep2007","Percent","46","4"
"British Virgin Islands","Male","2004","UNESCO_UIS Database_Sep2007","Percent","44","4"
"British Virgin Islands","Male","2003","UNESCO_UIS Database_Sep2007","Percent","37","4"
"British Virgin Islands","Male","2002","UNESCO_UIS Database_Sep2007","Percent","31","4"
"British Virgin Islands","Male","2001","UNESCO_UIS Database_Sep2007","Percent","33","4"
"British Virgin Islands","Male","2000","UNESCO_UIS Database_Sep2007","Percent","28","4"
"British Virgin Islands","Male","1999","UNESCO_UIS Database_Sep2007","Percent","36","4"
"Brunei","Female","2005","UNESCO_UIS Database_Sep2007","Percent","20",""
"Brunei","Female","2004","UNESCO_UIS Database_Sep2007","Percent","20",""
"Brunei","Female","2003","UNESCO_UIS Database_Sep2007","Percent","18",""
"Brunei","Female","2002","UNESCO_UIS Database_Sep2007","Percent","18","3"
"Brunei","Female","2001","UNESCO_UIS Database_Sep2007","Percent","18",""
"Brunei","Female","2000","UNESCO_UIS Database_Sep2007","Percent","16",""
"Brunei","Female","1999","UNESCO_UIS Database_Sep2007","Percent","16",""
"Brunei","Male","2005","UNESCO_UIS Database_Sep2007","Percent","10",""
"Brunei","Male","2004","UNESCO_UIS Database_Sep2007","Percent","10",""
"Brunei","Male","2003","UNESCO_UIS Database_Sep2007","Percent","10",""
"Brunei","Male","2002","UNESCO_UIS Database_Sep2007","Percent","10","3"
"Brunei","Male","2001","UNESCO_UIS Database_Sep2007","Percent","10",""
"Brunei","Male","2000","UNESCO_UIS Database_Sep2007","Percent","9",""
"Brunei","Male","1999","UNESCO_UIS Database_Sep2007","Percent","8",""
"Bulgaria","Female","2005","UNESCO_UIS Database_Sep2007","Percent","47",""
"Bulgaria","Female","2004","UNESCO_UIS Database_Sep2007","Percent","44",""
"Bulgaria","Female","2003","UNESCO_UIS Database_Sep2007","Percent","44",""
"Bulgaria","Female","2002","UNESCO_UIS Database_Sep2007","Percent","44",""
"Bulgaria","Female","2001","UNESCO_UIS Database_Sep2007","Percent","49",""
"Bulgaria","Female","2000","UNESCO_UIS Database_Sep2007","Percent","52",""
"Bulgaria","Female","1999","UNESCO_UIS Database_Sep2007","Percent","56",""
"Bulgaria","Male","2005","UNESCO_UIS Database_Sep2007","Percent","41",""
"Bulgaria","Male","2004","UNESCO_UIS Database_Sep2007","Percent","38",""
"Bulgaria","Male","2003","UNESCO_UIS Database_Sep2007","Percent","37",""
"Bulgaria","Male","2002","UNESCO_UIS Database_Sep2007","Percent","36",""
"Bulgaria","Male","2001","UNESCO_UIS Database_Sep2007","Percent","36",""
"Bulgaria","Male","2000","UNESCO_UIS Database_Sep2007","Percent","37",""
"Bulgaria","Male","1999","UNESCO_UIS Database_Sep2007","Percent","36",""
"Burkina Faso","Female","2005","UNESCO_UIS Database_Sep2007","Percent","1",""
"Burkina Faso","Female","2004","UNESCO_UIS Database_Sep2007","Percent","1","3"
"Burkina Faso","Female","2003","UNESCO_UIS Database_Sep2007","Percent","1",""
"Burkina Faso","Female","2002","UNESCO_UIS Database_Sep2007","Percent","1",""
"Burkina Faso","Female","2001","UNESCO_UIS Database_Sep2007","Percent","1","3"
"Burkina Faso","Female","2000","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Burkina Faso","Female","1999","UNESCO_UIS Database_Sep2007","Percent","-","1"
"Burkina Faso","Male","2005","UNESCO_UIS Database_Sep2007","Percent","3",""
"Burkina Faso","Male","2004","UNESCO_UIS Database_Sep2007","Percent","3","3"
"Burkina Faso","Male","2003","UNESCO_UIS Database_Sep2007","Percent","3",""
"Burkina Faso","Male","2002","UNESCO_UIS Database_Sep2007","Percent","2",""
"Burkina Faso","Male","2001","UNESCO_UIS Database_Sep2007","Percent","2","3"
"Burkina Faso","Male","2000","UNESCO_UIS Database_Sep2007","Percent","…","5"
"Burkina Faso","Male","1999","UNESCO_UIS Database_Sep2007","Percent","2",""
"Burundi","Female","2005","UNESCO_UIS Database_Sep2007","Percent","1","3"
"Burundi","Female","2004","UNESCO_UIS Database_Sep2007","Percent","1",""
"Burundi","Female","2003","UNESCO_UIS Database_Sep2007","Percent","1","3"
"Burundi","Female","2002","UNESCO_UIS Database_Sep2007","Percent","1",""
"Burundi","Female","2001","UNESCO_UIS Database_Sep2007","Percent","1",""
"Burundi","Female","2000","UNESCO_UIS Database_Sep2007","Percent","1",""
"Burundi","Female","1999","UNESCO_UIS Database_Sep2007","Percent","1",""
"Burundi","Male","2005","UNESCO_UIS Database_Sep2007","Percent","3","3"
"Burundi","Male","2004","UNESCO_UIS Database_Sep2007","Percent","3",""
"Burundi","Male","2003","UNESCO_UIS Database_Sep2007","Percent","3","3"
"Burundi","Male","2002","UNESCO_UIS Database_Sep2007","Percent","3",""
"Burundi","Male","2001","UNESCO_UIS Database_Sep2007","Percent","2",""
"Burundi","Male","2000","UNESCO_UIS Database_Sep2007","Percent","2",""
"Burundi","Male","1999","UNESCO_UIS Database_Sep2007","Percent","1",""
"Cambodia","Female","2005","UNESCO_UIS Database_Sep2007","Percent","2",""
"Cambodia","Female","2004","UNESCO_UIS Database_Sep2007","Percent","2",""
"Cambodia","Female","2003","UNESCO_UIS Database_Sep2007","Percent","2","3"
"Cambodia","Female","2002","UNESCO_UIS Database_Sep2007","Percent","1",""
"Cambodia","Female","2001","UNESCO_UIS Database_Sep2007","Percent","1",""
"Cambodia","Female","2000","UNESCO_UIS Database_Sep2007","Percent","1",""
"Cambodia","Male","2005","UNESCO_UIS Database_Sep2007","Percent","5",""
"Cambodia","Male","2004","UNESCO_UIS Database_Sep2007","Percent","4",""
"Cambodia","Male","2003","UNESCO_UIS Database_Sep2007","Percent","4","3"
"Cambodia","Male","2002","UNESCO_UIS Database_Sep2007","Percent","4",""
"Cambodia","Male","2001","UNESCO_UIS Database_Sep2007","Percent","3",""
"Cambodia","Male","2000","UNESCO_UIS Database_Sep2007","Percent","3",""
"Cameroon","Female","2005","UNESCO_UIS Database_Sep2007","Percent","5","3"
"Cameroon","Female","2004","UNESCO_UIS Database_Sep2007","Percent","4","3"
"Cameroon","Female","2003","UNESCO_UIS Database_Sep2007","Percent","4","3"
"Cameroon","Female","2002","UNESCO_UIS Database_Sep2007","Percent","4","3"
"Cameroon","Male","2005","UNESCO_UIS Database_Sep2007","Percent","7","3"
"Cameroon","Male","2004","UNESCO_UIS Database_Sep2007","Percent","6","3"
"Cameroon","Male","2003","UNESCO_UIS Database_Sep2007","Percent","6","3"
"Cameroon","Male","2002","UNESCO_UIS Database_Sep2007","Percent","6","3"
"Canada","Female","2004","UNESCO_UIS Database_Sep2007","Percent","72","3"
"Canada","Female","2002","UNESCO_UIS Database_Sep2007","Percent","70",""
"Canada","Female","2000","UNESCO_UIS Database_Sep2007","Percent","68",""
"Canada","Female","1999","UNESCO_UIS Database_Sep2007","Percent","69",""
"Canada","Male","2004","UNESCO_UIS Database_Sep2007","Percent","53","3"
"Canada","Male","2002","UNESCO_UIS Database_Sep2007","Percent","51",""
"Canada","Male","2000","UNESCO_UIS Database_Sep2007","Percent","50",""
"Canada","Male","1999","UNESCO_UIS Database_Sep2007","Percent","51",""
"Cape Verde","Female","2005","UNESCO_UIS Database_Sep2007","Percent","7",""
"Cape Verde","Female","2004","UNESCO_UIS Database_Sep2007","Percent","6",""
"Cape Verde","Female","2003","UNESCO_UIS Database_Sep2007","Percent","4",""
"Cape Verde","Female","2002","UNESCO_UIS Database_Sep2007","Percent","4",""
"Cape Verde","Female","2001","UNESCO_UIS Database_Sep2007","Percent","1","3"
"Cape Verde","Female","2000","UNESCO_UIS Database_Sep2007","Percent","2","3"
"Cape Verde","Male","2005","UNESCO_UIS Database_Sep2007","Percent","7",""
"Cape Verde","Male","2004","UNESCO_UIS Database_Sep2007","Percent","5",""
"Cape Verde","Male","2003","UNESCO_UIS Database_Sep2007","Percent","4",""
